Event	ID	Name			Wwise Object Path	Notes
	144991338	CarExplosion			\Default Work Unit\CarExplosion	
	685626117	uiConfirm			\Default Work Unit\uiConfirm	
	1933252553	uiCancel			\Default Work Unit\uiCancel	
	2388455330	EngineOff			\Default Work Unit\EngineOff	
	2439330724	EngineOn			\Default Work Unit\EngineOn	
	2587421243	HogImpact			\Default Work Unit\HogImpact	
	3164408517	uiClick			\Default Work Unit\uiClick	
	3266676374	TireScreech			\Default Work Unit\TireScreech	

Switch Group	ID	Name			Wwise Object Path	Notes
	1449613434	hog_impact			\Default Work Unit\hog_impact	

Switch	ID	Name	Switch Group			Notes
	545371365	low	hog_impact			
	2849147824	medium	hog_impact			
	3550808449	high	hog_impact			

Game Parameter	ID	Name			Wwise Object Path	Notes
	796049864	RPM			\Default Work Unit\RPM	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	71018915	idle-rpm-loop	Y:\hogtagon\hogtagon_WwiseProject\.cache\10\{1073E8F7-C22A-4F8B-C5DE-1F83FF2B11F4}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-engine\idle-rpm-loop		2871924
	90311213	ui-cancel	Y:\hogtagon\hogtagon_WwiseProject\.cache\FA\{FA79BAE6-9C46-C389-95C8-EDA7E0977145}.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\ui-cancel		102064
	157986807	ui-confirmation	Y:\hogtagon\hogtagon_WwiseProject\.cache\B6\{B6D2F97E-FE56-A469-F01A-2474DD17519C}.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\ui-confirmation		192176
	178975780	6k-rpm-loop	Y:\hogtagon\hogtagon_WwiseProject\.cache\47\{4780DB24-F5D9-3D8F-C651-E1BB65757714}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-engine\6k-rpm-loop		1056176
	179866252	car-explosion-1	Y:\hogtagon\hogtagon_WwiseProject\.cache\3A\{3AC9F094-060F-FA50-3025-0617BF8F20D7}.wem		\Actor-Mixer Hierarchy\Default Work Unit\car-explosion\car-explosion-1		1541296
	191368066	impact-3c	Y:\hogtagon\hogtagon_WwiseProject\.cache\D1\{D17A5C15-B3C4-6EED-CF08-3053C75DFFB4}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-impact\high-impact\impact-3c		787632
	299928938	impact-1a	Y:\hogtagon\hogtagon_WwiseProject\.cache\23\{232D98DA-B920-7838-0D94-0CF126ACC5EC}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-impact\low-impact\impact-1a		282800
	307100629	gear-shift-1	Y:\hogtagon\hogtagon_WwiseProject\.cache\BF\{BF9E2490-01AC-9E10-254F-E8B71CC94531}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-engine\gear-shift-1		118960
	330055359	1k-rpm-loop	Y:\hogtagon\hogtagon_WwiseProject\.cache\CA\{CA9CDBAF-E748-08CB-D09E-D357C5E44CAA}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-engine\1k-rpm-loop		2112176
	331870255	impact-3a	Y:\hogtagon\hogtagon_WwiseProject\.cache\8D\{8D3B7EEF-F0E1-86FC-F718-4AE98FB9AB6C}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-impact\high-impact\impact-3a		669872
	344684111	gear-shift-5	Y:\hogtagon\hogtagon_WwiseProject\.cache\5B\{5B1262CF-529A-BFFE-DB17-7837F76E91F8}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-engine\gear-shift-5		118960
	386328575	5k-rpm-loop	Y:\hogtagon\hogtagon_WwiseProject\.cache\E8\{E889B0D4-615A-2483-B1A6-89C48B846DD5}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-engine\5k-rpm-loop		2688176
	388733350	impact-2b	Y:\hogtagon\hogtagon_WwiseProject\.cache\5F\{5F6DA9B3-93D6-980B-E180-A11C9C4D1BFE}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-impact\medium-impact\impact-2b		439776
	464858496	car-explosion-5	Y:\hogtagon\hogtagon_WwiseProject\.cache\F1\{F1E346AF-5668-7DFE-D996-3FECF06B33FD}.wem		\Actor-Mixer Hierarchy\Default Work Unit\car-explosion\car-explosion-5		1075376
	526038726	gear-shift-4	Y:\hogtagon\hogtagon_WwiseProject\.cache\3F\{3F3D6320-AAD6-85DB-F678-C2E5878F2537}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-engine\gear-shift-4		93360
